address_id,name,lat,lon
addr_001,NDBS023,46.81013748669929,-100.8081205800672
addr_002,904,46.81490999908505,-100.8032830004469
addr_003,930,46.81542599902756,-100.8046109996944
addr_004,1001,46.81562399900635,-100.8039989999492
addr_005,1020,46.81635699881713,-100.8048169995587
addr_006,910,46.81423999908198,-100.8041410002394
addr_007,925,46.81513599926417,-100.803932000002
addr_008,928,46.81523899892463,-100.8046190000903
addr_009,1110,46.81716899913691,-100.8050609999562
addr_010,1004,46.81547899893187,-100.8065170001484
addr_011,906,46.81415499880606,-100.8059210002968
addr_012,1021,46.8158489990474,-100.8075029999874
addr_013,1009,46.81597099885634,-100.8065489999355
addr_014,1020,46.81753499919969,-100.8063199996066
addr_015,1216,46.81837499924575,-100.8085559997736
addr_016,1121,46.81409099921845,-100.8111939996235
addr_017,1240,46.81890299914444,-100.8115839996108
addr_018,1024,46.81580699876694,-100.8104630000526
addr_019,1222,46.81660499910096,-100.8130649999175
addr_020,1106,46.81701699882883,-100.8108289997505
addr_021,930,46.81515499922234,-100.8067399997312
addr_022,921,46.81463199934642,-100.8064040001705
addr_023,833,46.81372799921341,-100.8052810000642
addr_024,922,46.81496799879181,-100.805907999878
addr_025,1136,46.81758099884661,-100.8082350002815
addr_026,1048,46.81676499905386,-100.8068920000672
addr_027,1202,46.81846199932386,-100.8058700002431
addr_028,1212,46.81810299876469,-100.8097070003674
addr_029,1137,46.81988099925238,-100.8074949995915
addr_030,915,46.81449999905579,-100.8052450000792
addr_031,1244,46.81900399927595,-100.8118439999018
addr_032,1002,46.81562799925302,-100.8046109996944
addr_033,1235,46.81941999902877,-100.8105929997489
addr_034,1224,46.81852299875769,-100.8098370000637
addr_035,1240,46.81914699876638,-100.8097640002688
addr_036,1130,46.81794699917877,-100.8056259998457
addr_037,1018,46.816726999039,-100.8055949998835
addr_038,1212,46.81559799893271,-100.812828000091
addr_039,1007,46.81709299903653,-100.8054119995854
addr_040,1201,46.81581499923271,-100.8118670003663
addr_041,1202,46.81450599924368,-100.812319000278
addr_042,1124,46.81760399927002,-100.8135450003165
addr_043,1261,46.81914499908137,-100.8134230001177
addr_044,1237,46.81851299898626,-100.8123229995776
addr_045,1017,46.81595199918646,-100.8072050000616
addr_046,1256,46.81979799894782,-100.8091049997696
addr_047,1128,46.81779999887107,-100.8134690001485
addr_048,1244,46.81895099915759,-100.8130900000318
addr_049,1140,46.81840199875511,-100.8130309995823
addr_050,1016,46.81561999875936,-100.8149570001278
addr_051,1129,46.81703899930444,-100.8084939998493
addr_052,1017,46.81786299878869,-100.8065720004
addr_053,1228,46.81902699909068,-100.8062819999718
addr_054,1239,46.81911899886601,-100.8091580003714
addr_055,1255,46.81932099935725,-100.8090520000661
addr_056,1120,46.8135649992998,-100.8099490002167
addr_057,1224,46.81554899878344,-100.8137119998227
addr_058,1023,46.81595199918646,-100.8141560002367
addr_059,1105,46.81597499907719,-100.8108220000778
addr_060,1029,46.81611799924612,-100.8097690002916
addr_061,1221,46.81623199927174,-100.8135019997604
addr_062,1104,46.81671899932361,-100.8138049997091
addr_063,1225,46.81535599901586,-100.8137660002494
addr_064,1116,46.81723799906213,-100.8135379997455
addr_065,1121,46.81743099883726,-100.8128909998402
addr_066,1020,46.8156159991269,-100.8104560003799
addr_067,1009,46.8156389991613,-100.8111929997985
addr_068,1262,46.81953999905678,-100.8137529998306
